Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
6c0c3176		Kinetic Text Tags Ren'Py Module 2021 Daniel Westfall <SoDaRa2595@gmail.com>	game/kinetic_text_tags.rpy	1	"[what]"
8689f4cd		http://twitter.com/sodara9 I'd appreciate being given credit if you do end up using it! :D Would really make my day to know I helped some people out! Really hope this can help the community create some really neat ways to spice up their dialogue! http://opensource.org/licenses/mit-license.php Github: https://github.com/SoDaRa/Kinetic-Text-Tags itch.io: https://wattson.itch.io/kinetic-text-tags Forum Post: https://lemmasoft.renai.us/forums/viewtopic.php?f=51&t=60527&sid=75b4eb1aa5212a33cbfe9b0354e5376b	game/kinetic_text_tags.rpy	1	"[what]"
citaChapultepec_cac39833	narrador	Un domingo por la tarde, Ximena y Carlos decidieron salir a una cita.	game/point_and_click/point_and_click.rpy	43	narrador "[what]"
citaChapultepec_e203a48d	narrador	Caminaban entre los árboles, tenían tiempo de no salir juntos, estaban en entregas finales y la carrera de cada uno comenzaba a ser cada vez más demandante.	game/point_and_click/point_and_click.rpy	44	narrador "[what]"
citaChapultepec_21ccea51	narrador	Aunque a veces se veían entre clases en la universidad, están en ambientes muy distintos y cada vez sus diferencias y expectativas se hacían más evidentes...	game/point_and_click/point_and_click.rpy	45	narrador "[what]"
citaChapultepec_91832bb6	jugador.personaje	Ay no amor. Hablé con mi equipo y quieren trabajar en la escuela. Ya les dije que es más fácil que cada quien llegue a su casa y luego ponernos a trabajar en línea.	game/point_and_click/point_and_click.rpy	46	jugador.personaje "[what]"
citaChapultepec_03215516	pareja.personaje	Sí.	game/point_and_click/point_and_click.rpy	47	pareja.personaje "[what]"
citaChapultepec_a6a06918	jugador.personaje	Y pues, salir de Santa Fe después de las 3 de la tarde y con lluvias está mortal, ¿sabes a qué horas voy a llegar a mi casa? Mínimo a las 7.	game/point_and_click/point_and_click.rpy	48	jugador.personaje "[what]"
citaChapultepec_e17fd2ba	pareja.personaje	Ajá...	game/point_and_click/point_and_click.rpy	49	pareja.personaje "[what]"
citaChapultepec_73a91828	jugador.personaje	¿Y tú qué tienes? Estás muy [palabraGenero].	game/point_and_click/point_and_click.rpy	52	jugador.personaje "[what]"
citaChapultepec_0cdd2eae	pareja.personaje	No, nada amor, solo estoy un poco [palabraGenero] por mi entrega del lunes.	game/point_and_click/point_and_click.rpy	55	pareja.personaje "[what]"
citaChapultepec_d76f0fef	jugador.personaje	¿Sí? Pero a ti te sale todo a la primera… yo sí que debo preocuparme, apenas y le entiendo a la UEA.	game/point_and_click/point_and_click.rpy	57	jugador.personaje "[what]"
citaChapultepec_ad59896f	pareja.personaje	Bueno, pero yo quiero preocuparme, ¿ok?, más bien tu andas de sensible.	game/point_and_click/point_and_click.rpy	59	pareja.personaje "[what]"
citaChapultepec_c35f5efb	jugador.personaje	O tú de cortante.	game/point_and_click/point_and_click.rpy	61	jugador.personaje "[what]"
